Wavelength[nm],Intensity[normalized],Phase[rad]
723.27,0.15251307,-0.82906628
723.71,0.15549187,-0.83632151
724.15,0.15843646,-0.82634859
724.59,0.16111321,-0.80696431
725.04,0.16399644,-0.78305574
725.48,0.16737792,-0.75560372
725.92,0.17110474,-0.72461248
726.36,0.17523453,-0.69057456
726.80,0.18001486,-0.65349417
727.25,0.18504891,-0.61435210
727.69,0.18946223,-0.57217598
728.13,0.19272455,-0.52794656
728.57,0.19527774,-0.48264459
729.01,0.19832624,-0.42455549
729.46,0.20233404,-0.36393731
729.90,0.20635923,-0.30372390
730.34,0.20909914,-0.24440766
730.78,0.21029625,-0.18696929
731.22,0.21059557,-0.13287773
731.67,0.21020626,-0.08262536
732.11,0.20936983,-0.03719285
732.55,0.20902315,0.00243918
732.99,0.20949082,0.03529009
733.43,0.20965863,0.06037927
733.87,0.20796682,0.05133547
734.32,0.20402675,0.02670937
734.76,0.19912394,-0.00569057
735.20,0.19468883,-0.04489179
735.64,0.19096275,-0.08992173
736.08,0.18784541,-0.14127266
736.52,0.18550238,-0.19699544
736.97,0.18370555,-0.25709403
737.41,0.18205483,-0.32108410
737.85,0.18073471,-0.38750477
738.29,0.18006448,-0.45635997
738.73,0.17988794,-0.53204815
739.17,0.17975877,-0.61213182
739.61,0.17925206,-0.69173207
740.05,0.17845905,-0.76987624
740.50,0.17756305,-0.84510336
740.94,0.17608099,-0.91644074
741.38,0.17410587,-0.98291568
741.82,0.17299868,-1.04306720
742.26,0.17391011,-1.09641084
742.70,0.17656514,-1.14099731
743.14,0.17918913,-1.17634216
743.58,0.17981921,-1.18926560
744.02,0.17815071,-1.15926362
744.46,0.17591002,-1.11905485
744.91,0.17542351,-1.06913135
745.35,0.17764120,-1.01096174
745.79,0.18133188,-0.94503805
746.23,0.18404158,-0.87234060
746.67,0.18368414,-0.79384970
747.11,0.18034960,-0.71005734
747.55,0.17739895,-0.62292038
747.99,0.17920426,-0.53195424
748.43,0.18604934,-0.43911575
748.87,0.19186748,-0.34489688
749.31,0.19080176,-0.24978959
749.75,0.18602582,-0.15477412
750.19,0.18695709,-0.06180724
750.63,0.19722026,0.02910739
751.07,0.20911994,0.11698956
751.51,0.21214234,0.20037081
751.96,0.20587393,0.27924751
752.40,0.20176157,0.35215120
752.84,0.21044681,0.41810172
753.28,0.22934326,0.47660719
753.72,0.24503502,0.52375779
754.16,0.24535780,0.53415931
754.60,0.22921022,0.53564021
755.04,0.20889312,0.52819695
755.48,0.20263786,0.51280254
